product,ingredients,link
Multi-Peptide Serum for Hair Density,"Aqua (Water), Propanediol, Butylene Glycol, Glycerin, Caffeine, Biotinoyl Tripeptide-1, Acetyl Tetrapeptide-3, Larix Europaea Wood Extract, Pisum Sativum Extract, Scutellaria Baicalensis Root Extract, Triticum Vulgare Germ Extract, Glycine Soja Germ Extract, Trifolium Pratense Flower Extract, Camellia Sinensis Leaf Extract, Apigenin, Oleanolic Acid, Arginine, Glycine, Calcium Gluconate, Zinc Chloride, Lactic Acid, Gluconolactone, Dextran, Maltodextrin, Hydroxyethylcellulose, Xanthan gum, Pentylene Glycol, Dimethyl Isosorbide, Polysorbate 20, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Trisodium Ethylenediamine Disuccinate, Sodium Metabisulfite, Sodium Benzoate, Phenoxyethanol, Chlorphenesin.",https://theordinary.deciem.com/product/rdn-multi-peptide-serum-for-hair-density-60ml?redir=1
100% Organic Cold-Pressed Moroccan Argan Oil,Argania Spinosa Kernel Oil.,https://theordinary.deciem.com/product/rdn-100pct-organic-cold-pressed-moroccan-argan-oil-30ml?redir=1
100% Cold-Pressed Virgin Marula Oil,Sclerocarya Birrea Seed Oil.,https://theordinary.deciem.com/product/rdn-100pct-cold-pressed-virgin-marula-oil-30ml?redir=1
100% Plant-Derived Hemi-Squalane,C13-16 Isoparaffin.,https://theordinary.deciem.com/product/rdn-100pct-plant-derived-hemi-squalane-30ml?redir=1
